rule_id,rule_name,family,business_rationale,data_required,logic,threshold,threshold_justification,alerts_dev,pct_dev_account_weeks,alerts_test,pct_test_account_weeks,label_precision_dev,label_precision_test,lift_test,in_framework,limitations
TXN-01,Large transaction,transaction,Largest single transfer this week is in the top 1% of all development-period transfer amounts.,amount,max_amt >= 589.6,589.65,99% quantile of development-period transfer amounts (label-free),1163,0.01484080903464557,488,0.015893694632621157,0.1349957007738607,0.11475409836065574,0.951244556173211,True,"AMLSim caps amounts near 600, so 'large' has a narrow meaning; typology transfers are not larger."
VEL-01,High absolute velocity,velocity,Weekly transaction count in the top 1% of development account-weeks.,"sender, receiver, step",n_tx >= 6,6.0,99% quantile of development account-weeks (label-free),1185,0.015121546608817711,342,0.011138613861386138,0.6582278481012658,0.8421052631578947,6.980561555075593,True,Absolute counts penalise legitimately busy accounts; simulation volume varies by week.
BEH-01,Velocity spike vs own baseline,behavioral,(this week's count + 1) / (historical weekly mean + 1) in the top 1%; account must have history.,"sender, receiver, step (history)",velocity_ratio >= 3.273 and history exists,3.2727272727272725,99% quantile of development account-weeks (label-free),691,0.008817711988770497,212,0.006904637832204273,0.4905933429811867,0.6320754716981132,5.239537063450018,True,Needs history; unstable for accounts with very few past transactions.
BEH-02,New-counterparty burst,behavioral,Number of counterparties never seen before this week in the top 1%.,"sender, receiver, step (history)",new_cp >= 6,6.0,99% quantile of development account-weeks (label-free),856,0.010923243795061571,171,0.005569306930693069,0.5268691588785047,0.6842105263157895,5.67170626349892,True,"Almost every AMLSim background transfer goes to a new counterparty, so novelty is common."
BEH-03,Amount escalation vs own baseline,behavioral,"log(mean amount this week / historical median amount) in the top 1% (larger than usual). Requires >= 5 historical transactions. QUARANTINED: perfect development precision traced to artifact A1 (tiny typology amounts deflate the account's own baseline, so ordinary amounts look like escalation).","amount, step (history)",amount_log_ratio >= 2.362,2.362049045389842,99% quantile of development account-weeks (label-free),251,0.0032029605053276334,153,0.004983064095883272,1.0,1.0,8.289416846652268,False,Partly driven by the sub-100 typology amounts (artifact A1) inflating/deflating baselines.
BEH-04,Dormant-account reactivation,behavioral,Activity after > 4 empty weeks. Evaluated but EXCLUDED: precision below the base rate in development.,step (history),is_reactivated >= 1,1.0,binary flag,2360,0.03011548522937536,2068,0.06735278791036999,0.04194915254237288,0.06624758220502901,0.5491538239803484,False,Dormancy is mostly a simulator start/end effect here.
AML-01,Rapid pass-through,aml_pattern,"min(in/out balance of 28-day flows, share of outflow sent within 3 days of an inflow) in the top 1%.","sender, receiver, amount, step",rapid_movement >= 0.8,0.8,99% quantile of development account-weeks (label-free),792,0.010106552670197154,254,0.008272537780093799,0.1994949494949495,0.24015748031496062,1.9907654631723948,True,Step granularity is one day; intra-day ordering of in/out flows is unknown.
AML-02,Repeated transfers to same receiver,aml_pattern,"Two or more transfers to the same receiver in one week (structuring-like). EXCLUDED from the framework: in AMLSim background activity never repeats a receiver within a week, so this rule's perfect precision is a simulator artifact, not transferable evidence.","sender, receiver, step",max_repeat_same_cp >= 2,2.0,structural definition (presence of the pattern),307,0.003917565239583998,263,0.008565659197498698,1.0,1.0,8.289416846652268,False,Simulator artifact (A2/A3): background accounts never repeat a receiver within a week.
AML-03,Circular flow,aml_pattern,Account lies on >= 1 time-respecting directed cycle (3-6 accounts) within 28 days.,"sender, receiver, step",cycle_count >= 1,1.0,structural definition (presence of the pattern),297,0.003789957251323933,69,0.002247264200104221,0.5589225589225589,0.463768115942029,3.844367233230037,True,Random background activity also forms time-respecting cycles; cycles are rare overall.
NET-01,Fan-in collector,network,Distinct senders over 28 days in the top 1% (many-to-one).,"sender, receiver, step",fan_in_28 >= 14,14.0,99% quantile of development account-weeks (label-free),834,0.010642506220889428,270,0.008793642522146951,0.5227817745803357,0.6333333333333333,5.24996400287977,True,Legitimate collection accounts (e.g. merchants) would also trigger; no account-type field exists.
NET-02,Fan-out distributor,network,Distinct receivers over 28 days in the top 1% (one-to-many).,"sender, receiver, step",fan_out_28 >= 7,7.0,99% quantile of development account-weeks (label-free),1029,0.013130861991960696,468,0.015242313705054716,0.41496598639455784,0.4017094017094017,3.3299366819885177,True,Legitimate payout accounts (e.g. payroll) would also trigger; no account-type field exists.
NET-03,Flow centrality (PageRank),network,Amount-weighted PageRank in the 28-day graph in the top 1% (where money accumulates).,"sender, receiver, amount, step",pagerank_28 >= 0.0004181,0.00041806603997584146,99% quantile of development account-weeks (label-free),784,0.010004466279589102,183,0.005960135487232934,0.4119897959183674,0.644808743169399,5.345088458497091,True,Highly correlated with fan-in and inflow value; adds little independent evidence.
